gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
UQCR11.1,1.85E-05,0.00355701,0.704,0.465,0.40500281,0.239
BZW2,1.86E-05,0.105833134,0.333,0.161,0.406886601,0.172
PABPC4,1.88E-05,0.267360668,0.371,0.185,0.411887093,0.186
PPP1R14B,1.90E-05,-0.033446314,0.528,0.307,0.415751513,0.221
RASGEF1B,1.90E-05,0.362539125,0.396,0.228,0.416082646,0.168
PSMG1,1.90E-05,0.122390947,0.34,0.161,0.416092499,0.179
HERPUD1,1.91E-05,0.297279132,0.906,0.642,0.416745438,0.264
PXDC1,1.93E-05,0.115167934,0.478,0.295,0.422707192,0.183
TAGLN2,1.94E-05,-0.501274549,0.887,0.768,0.424710233,0.119
ARL2,1.95E-05,0.095664044,0.623,0.413,0.42702603,0.21
UBL5,1.96E-05,-0.064290656,0.761,0.504,0.428838935,0.257
C4orf27,2.01E-05,0.112726333,0.239,0.091,0.439587479,0.148
MPLKIP,2.02E-05,0.139596808,0.384,0.201,0.440654945,0.183
CLIC4,2.10E-05,0.081953469,0.73,0.472,0.459378242,0.258
C10orf11,2.11E-05,0.015310607,0.264,0.106,0.460351161,0.158
MLEC,2.11E-05,-0.605237357,0.214,0.378,0.460985859,-0.164
NOP58,2.11E-05,0.158690427,0.528,0.311,0.462249916,0.217
NUDT3,2.15E-05,0.087083361,0.491,0.295,0.470377389,0.196
RPS6KA2,2.18E-05,0.198823538,0.384,0.213,0.476132117,0.171
ZNF423,2.18E-05,0.099967447,0.145,0.031,0.476314147,0.114
HSPB8,2.18E-05,0.224783474,0.352,0.165,0.477426301,0.187
RNH1,2.19E-05,0.013183963,0.635,0.398,0.47922599,0.237
FOXF2,2.20E-05,-0.165905097,0,0.106,0.481830639,-0.106
AXL,2.20E-05,-0.180054002,0,0.106,0.481830639,-0.106
CKMT2,2.20E-05,-0.230115811,0,0.106,0.481830639,-0.106
SLC1A7,2.20E-05,-0.296098971,0,0.106,0.481830639,-0.106
TAF7,2.23E-05,0.07400933,0.459,0.256,0.487802105,0.203
WAC-AS1,2.23E-05,0.066804554,0.145,0.031,0.488274215,0.114
PPP4R2,2.25E-05,0.108112216,0.497,0.303,0.492582875,0.194
NELFE,2.27E-05,0.035038117,0.434,0.232,0.495157675,0.202
DUSP2,2.27E-05,0.297851892,0.119,0.02,0.496774539,0.099
TSPYL2,2.30E-05,0.195495173,0.585,0.343,0.502635641,0.242
LTBP1,2.32E-05,0.100890595,0.119,0.02,0.506097465,0.099
HDGFRP3,2.32E-05,0.175328676,0.396,0.209,0.506375627,0.187
GBP2,2.33E-05,0.365125491,0.61,0.394,0.51007078,0.216
CADPS2,2.33E-05,0.160393282,0.283,0.122,0.51023603,0.161
EBPL,2.34E-05,0.023721921,0.459,0.244,0.511017108,0.215
AC011526.1,2.37E-05,-0.019944899,0.547,0.327,0.517596072,0.22
SORT1,2.37E-05,-0.314875986,0.119,0.291,0.518975117,-0.172
MT-ND4L,2.38E-05,-0.956992453,0.654,0.642,0.519798221,0.012
SOX18,2.39E-05,0.083659836,0.56,0.323,0.521963735,0.237
ZNF33A,2.39E-05,0.17987299,0.252,0.098,0.522375917,0.154
GEM,2.40E-05,0.024135423,0.302,0.118,0.525474213,0.184
ELN,2.41E-05,0.114829134,0.126,0.024,0.526904588,0.102
SH3BGRL2,2.41E-05,0.028953579,0.27,0.114,0.527612535,0.156
RBMX,2.43E-05,-0.005175076,0.604,0.382,0.531577543,0.222
FRZB,2.44E-05,-0.722273043,0.044,0.185,0.532943412,-0.141
GCHFR,2.45E-05,-0.033689569,0.119,0.02,0.535075551,0.099
FES,2.47E-05,-0.476369934,0.119,0.287,0.540989553,-0.168
SCRN2,2.53E-05,-0.002024715,0.252,0.094,0.553117556,0.158
RHOB,2.54E-05,0.417807939,0.654,0.421,0.555298437,0.233
BCLAF1,2.55E-05,0.068673128,0.56,0.343,0.556703189,0.217
PLK3,2.55E-05,0.223501152,0.61,0.386,0.557092412,0.224
STMN1,2.55E-05,0.064645645,0.377,0.189,0.558083013,0.188
FAM43A,2.57E-05,0.172397007,0.283,0.118,0.561198288,0.165
PFDN4,2.57E-05,0.008476303,0.327,0.154,0.562177119,0.173
ITGA10,2.60E-05,0.168312899,0.509,0.303,0.567666647,0.206
ETS2,2.60E-05,0.232501282,0.862,0.579,0.568180276,0.283
BACH1,2.61E-05,0.088493083,0.358,0.181,0.571197168,0.177
TEAD1,2.62E-05,0.186620191,0.252,0.102,0.572823609,0.15
OXCT1,2.63E-05,0.14805531,0.164,0.043,0.57446094,0.121
SH3RF1,2.66E-05,0.12826916,0.17,0.047,0.582007711,0.123
PSME2,2.67E-05,0.03776168,0.597,0.346,0.582820768,0.251
THEM6,2.68E-05,0.114454695,0.126,0.024,0.586357124,0.102
TMEM156,2.72E-05,-0.188973517,0.006,0.118,0.594789246,-0.112
RTN1,2.76E-05,-0.279388301,0.019,0.146,0.60301095,-0.127
CDH11,2.78E-05,0.203756899,0.233,0.091,0.608131712,0.142
CYB5R3,2.80E-05,0.259756381,0.723,0.469,0.611518882,0.254
BLVRA,2.81E-05,0.023946667,0.22,0.075,0.613429854,0.145
ALG13,2.85E-05,0.035007505,0.384,0.201,0.622774827,0.183
ICAM2,2.87E-05,-0.884424171,0.516,0.559,0.627678602,-0.043
PEF1,2.88E-05,0.086748533,0.472,0.272,0.628534607,0.2
GPX8,2.97E-05,0.121340363,0.189,0.059,0.649340535,0.13
IFI6,2.98E-05,-1.218969943,0.333,0.461,0.651877204,-0.128
FAM179B,2.98E-05,0.213336066,0.252,0.106,0.652252229,0.146
DDT,2.99E-05,-0.087189119,0.522,0.315,0.653789567,0.207
TTC14,3.01E-05,0.176153717,0.233,0.091,0.658158188,0.142
CTR9,3.02E-05,0.188341704,0.352,0.181,0.660828872,0.171
USP8,3.05E-05,0.258936816,0.352,0.177,0.667490936,0.175
NPR1,3.10E-05,0.263526698,0.245,0.098,0.678621798,0.147
ZXDB,3.12E-05,0.093255715,0.126,0.024,0.681590631,0.102
DHRS7,3.15E-05,0.128472953,0.465,0.272,0.687650418,0.193
AFF4,3.20E-05,0.151460631,0.566,0.354,0.699289569,0.212
PRSS3,3.20E-05,-0.219649812,0,0.102,0.699854114,-0.102
NEFM,3.20E-05,-0.54991447,0,0.102,0.699854114,-0.102
DDAH2,3.21E-05,-0.073823626,0.572,0.335,0.701982748,0.237
TXN,3.23E-05,0.080189089,0.805,0.559,0.706104086,0.246
MFHAS1,3.25E-05,0.045373295,0.245,0.094,0.710005995,0.151
METTL21A,3.26E-05,0.259601794,0.233,0.091,0.71208003,0.142
CUL5,3.26E-05,0.153132102,0.314,0.146,0.712144915,0.168
GMDS,3.28E-05,0.102308469,0.34,0.165,0.716506947,0.175
RBX1,3.34E-05,0.106946951,0.604,0.366,0.729329034,0.238
NUB1,3.41E-05,0.080968549,0.358,0.189,0.744492721,0.169
OSTC,3.42E-05,0.023583834,0.566,0.343,0.748049736,0.223
STK35,3.45E-05,0.095061162,0.252,0.102,0.753445283,0.15
PDCD4,3.50E-05,-0.025512947,0.497,0.287,0.765261498,0.21
NUDC,3.51E-05,0.116317838,0.56,0.339,0.768317375,0.221
AKAP9,3.53E-05,0.101821358,0.541,0.319,0.771448048,0.222
TMEM230,3.57E-05,0.190444447,0.541,0.323,0.779649575,0.218
PDIA5,3.58E-05,0.176827625,0.145,0.035,0.783143729,0.11
PDLIM3,3.59E-05,0.191872721,0.258,0.098,0.784587327,0.16
PERP,3.69E-05,0.176789162,0.572,0.386,0.806561829,0.186
ACP1,3.72E-05,0.145176323,0.459,0.276,0.813139024,0.183
FXR1,3.72E-05,-0.046580888,0.553,0.331,0.814089882,0.222
CAMLG,3.74E-05,0.037500368,0.522,0.315,0.818254575,0.207
C21orf91,3.77E-05,0.116149568,0.245,0.098,0.823642976,0.147
AIDA,3.80E-05,0.066045904,0.377,0.201,0.830909728,0.176
SERP1,3.80E-05,0.03577548,0.805,0.528,0.830946897,0.277
TMEM70,3.83E-05,0.127756437,0.497,0.283,0.83618813,0.214
IPO11,3.85E-05,0.120485103,0.403,0.217,0.840964051,0.186
TOMM20,3.88E-05,-0.001118066,0.679,0.429,0.847635715,0.25
SNRPC,3.88E-05,0.028764996,0.371,0.197,0.849063186,0.174
PPP2R3C,3.94E-05,0.077358988,0.296,0.142,0.860339118,0.154
TMEM204,3.96E-05,-0.392000919,0.094,0.256,0.864801146,-0.162
SEL1L,3.98E-05,0.156633839,0.321,0.154,0.871086045,0.167
HTRA1,3.99E-05,0.124258931,0.421,0.232,0.872636329,0.189
SNRNP70,4.00E-05,-0.022387923,0.528,0.315,0.873819423,0.213
PMF1,4.04E-05,0.116191127,0.371,0.189,0.882477311,0.182
GNAL,4.05E-05,0.102110834,0.132,0.028,0.884715168,0.104
FKBP5,4.08E-05,0.182758436,0.289,0.13,0.892019506,0.159
SERPINE2,4.10E-05,0.096231875,0.195,0.063,0.897084048,0.132
AC010642.1,4.12E-05,0.232378287,0.447,0.264,0.900774112,0.183
LAMTOR5,4.13E-05,-0.078811846,0.704,0.433,0.903215364,0.271
ERAP2,4.15E-05,0.155584729,0.302,0.142,0.906327582,0.16
ZNF706,4.15E-05,0.09745852,0.572,0.366,0.907977002,0.206
SLC41A3,4.16E-05,0.15987505,0.296,0.134,0.909412524,0.162
NDUFB11,4.21E-05,0.029990335,0.591,0.354,0.920831961,0.237
TNFAIP1,4.25E-05,0.038747542,0.371,0.197,0.928819533,0.174
SCAF11,4.26E-05,0.125750139,0.491,0.287,0.931830478,0.204
CLPTM1L,4.26E-05,0.114024081,0.365,0.193,0.932042457,0.172
C19orf60,4.28E-05,0.071008183,0.447,0.236,0.936522219,0.211
DDX21,4.36E-05,-0.002479942,0.635,0.386,0.953812321,0.249
SREK1IP1,4.36E-05,-0.138443899,0.346,0.169,0.953957785,0.177
B4GALT2,4.43E-05,0.148094827,0.17,0.047,0.96901455,0.123
SLC30A7,4.46E-05,0.098999409,0.308,0.146,0.975966564,0.162
FAM110D,4.49E-05,0.122181178,0.214,0.075,0.98233439,0.139
MBD2,4.49E-05,0.25291502,0.484,0.307,0.982475057,0.177
TGFB2,4.51E-05,0.190471279,0.208,0.075,0.985250084,0.133
TEAD2,4.61E-05,0.174280808,0.195,0.067,1,0.128
ATP1A1,4.62E-05,0.088696073,0.818,0.535,1,0.283
PNMA1,4.62E-05,0.088207422,0.201,0.071,1,0.13
MED8,4.67E-05,0.118983309,0.258,0.11,1,0.148
EXOC6B,4.67E-05,0.10669082,0.208,0.071,1,0.137
ATP2A2,4.68E-05,0.209762072,0.541,0.354,1,0.187
AIMP1,4.69E-05,0.093365405,0.377,0.197,1,0.18
CLTA,4.70E-05,-0.100266691,0.717,0.453,1,0.264
CSNK1G1,4.72E-05,0.160411782,0.151,0.039,1,0.112
RAB10,4.72E-05,0.130248005,0.428,0.252,1,0.176
DYNLT3,4.72E-05,-0.009577538,0.472,0.272,1,0.2
TFG,4.76E-05,0.04438296,0.56,0.354,1,0.206
SMEK1,4.78E-05,0.259489592,0.314,0.15,1,0.164
SENP2,4.81E-05,0.126181385,0.157,0.043,1,0.114
ELMO1,4.87E-05,-0.004945693,0.252,0.098,1,0.154
ATP11C,4.92E-05,0.136204632,0.264,0.114,1,0.15
WBP5,4.94E-05,0.154104746,0.623,0.382,1,0.241
RPS27L,4.97E-05,0.054140317,0.686,0.406,1,0.28
N4BP2L2,4.98E-05,0.18232213,0.591,0.37,1,0.221
ZMYND11,4.99E-05,0.220791913,0.314,0.154,1,0.16
GLOD4,5.02E-05,0.041563932,0.302,0.146,1,0.156
TBC1D5,5.07E-05,0.107257842,0.22,0.083,1,0.137
ERGIC1,5.07E-05,0.142689269,0.289,0.134,1,0.155
ARL1,5.11E-05,0.081445411,0.44,0.248,1,0.192
PRCC,5.19E-05,0.094811843,0.314,0.15,1,0.164
POLR2A,5.20E-05,0.139050256,0.604,0.382,1,0.222
ALDOA,5.21E-05,-0.691553007,0.843,0.705,1,0.138
ST3GAL6,5.32E-05,-0.308359667,0.063,0.201,1,-0.138
SMARCE1,5.32E-05,0.022260884,0.365,0.193,1,0.172
FNTA,5.32E-05,-0.031938149,0.447,0.244,1,0.203
RAP1A,5.33E-05,0.026539892,0.597,0.374,1,0.223
TMEM47,5.34E-05,0.311885974,0.258,0.11,1,0.148
SIAH1,5.35E-05,0.099043942,0.333,0.169,1,0.164
ZDHHC3,5.44E-05,0.199707186,0.258,0.114,1,0.144
EXOSC6,5.48E-05,0.394671128,0.27,0.122,1,0.148
NUCB1,5.49E-05,0.034194742,0.698,0.453,1,0.245
BTBD19,5.49E-05,0.08341077,0.157,0.043,1,0.114
TRIM8,5.59E-05,0.160825023,0.308,0.146,1,0.162
B4GALT5,5.62E-05,0.238109634,0.384,0.22,1,0.164
RNF13,5.66E-05,0.116971425,0.409,0.224,1,0.185
ARPC1B,5.68E-05,0.14107614,0.792,0.535,1,0.257
SSBP2,5.83E-05,0.100046812,0.264,0.114,1,0.15
N4BP3,5.84E-05,-0.235731457,0.006,0.11,1,-0.104
TM9SF3,5.84E-05,-0.018752737,0.484,0.295,1,0.189
PRDX5,5.84E-05,-0.080047529,0.66,0.406,1,0.254
MPHOSPH10,5.84E-05,0.195051412,0.264,0.118,1,0.146
UBE2Q2,5.87E-05,0.136899503,0.321,0.157,1,0.164
CTTN,5.91E-05,0.12785024,0.509,0.311,1,0.198
CYTH1,5.92E-05,0.074627187,0.566,0.327,1,0.239
SLU7,5.94E-05,0.136543943,0.478,0.291,1,0.187
UPF3A,6.04E-05,0.061995977,0.34,0.169,1,0.171
ASAP1,6.05E-05,0.135822578,0.491,0.283,1,0.208
URM1,6.11E-05,0.014255726,0.346,0.173,1,0.173
NARS,6.13E-05,0.051947547,0.415,0.228,1,0.187
SEMA3F,6.16E-05,-0.647770174,0.201,0.354,1,-0.153
DHRS4L2,6.19E-05,0.184718515,0.34,0.173,1,0.167
FOXN3,6.21E-05,0.378539688,0.384,0.217,1,0.167
ELOVL1,6.22E-05,0.121431604,0.34,0.173,1,0.167
LAPTM4A,6.22E-05,0.061018671,0.824,0.488,1,0.336
PLCD3,6.25E-05,0.025560742,0.176,0.055,1,0.121
TMEM14B,6.31E-05,0.063638976,0.421,0.24,1,0.181
SERPING1,6.37E-05,-0.301788081,0.063,0.201,1,-0.138
PPP2R5A,6.38E-05,0.149716707,0.308,0.15,1,0.158
QTRTD1,6.42E-05,0.122534673,0.182,0.059,1,0.123
CUTC,6.46E-05,0.133071951,0.233,0.094,1,0.139
CBLB,6.46E-05,0.086777698,0.34,0.165,1,0.175
SNX3,6.47E-05,0.033934918,0.761,0.496,1,0.265
ROMO1,6.48E-05,0.097863825,0.447,0.268,1,0.179
ATP5I,6.49E-05,-0.005690611,0.604,0.354,1,0.25
PTGES,6.50E-05,0.058375563,0.145,0.035,1,0.11
FAM107B,6.50E-05,0.144535941,0.239,0.094,1,0.145
BCL6,6.52E-05,0.234978465,0.333,0.181,1,0.152
CRTAP,6.59E-05,0.277148498,0.371,0.197,1,0.174
FLCN,6.63E-05,0.204276187,0.371,0.197,1,0.174
DPM1,6.70E-05,0.286563277,0.415,0.24,1,0.175
ADAMTS4,6.75E-05,-0.657413,0.063,0.201,1,-0.138
MPC2,6.82E-05,0.182409584,0.585,0.37,1,0.215
EIF2S1,6.84E-05,0.09072802,0.459,0.264,1,0.195
NDEL1,6.85E-05,0.079694187,0.302,0.146,1,0.156
UAP1,6.94E-05,0.082535823,0.478,0.28,1,0.198
CASP1,6.95E-05,0.04550721,0.252,0.11,1,0.142
MAGED1,6.96E-05,0.166356709,0.233,0.098,1,0.135
ALPL,6.96E-05,-0.783794374,0.258,0.409,1,-0.151
RNF10,7.01E-05,0.042208436,0.371,0.193,1,0.178
EEA1,7.01E-05,0.180893652,0.39,0.213,1,0.177
TMEM258,7.01E-05,-0.013030387,0.616,0.394,1,0.222
DNAJC10,7.04E-05,0.179985264,0.308,0.154,1,0.154
PRR13,7.07E-05,0.15744381,0.409,0.22,1,0.189
PPIP5K2,7.09E-05,0.060025801,0.214,0.079,1,0.135
SRSF11,7.10E-05,0.055838665,0.629,0.421,1,0.208
VPS13C,7.12E-05,0.136387771,0.371,0.201,1,0.17
RAPGEF4,7.13E-05,0.15616374,0.283,0.13,1,0.153
SRRM2,7.14E-05,0.04522265,0.698,0.461,1,0.237
KIAA1191,7.15E-05,0.110127988,0.314,0.161,1,0.153
TCTN1,7.18E-05,0.115627098,0.126,0.028,1,0.098
LLPH,7.18E-05,0.14314121,0.283,0.134,1,0.149
EIF3J,7.21E-05,0.118810189,0.509,0.311,1,0.198
AP2B1,7.25E-05,0.114544834,0.352,0.193,1,0.159
YIF1A,7.30E-05,0.073764881,0.371,0.189,1,0.182
COX6C,7.40E-05,0.129645092,0.799,0.528,1,0.271
NKTR,7.40E-05,0.183266612,0.56,0.331,1,0.229
CPSF6,7.42E-05,0.096504927,0.346,0.185,1,0.161
MEG3,7.43E-05,-0.458731152,0.013,0.122,1,-0.109
APOD,7.60E-05,-0.02814753,0.013,0.122,1,-0.109
ERG,7.66E-05,0.15382699,0.478,0.283,1,0.195
KDELR1,7.68E-05,-0.003693325,0.528,0.335,1,0.193
NDUFA6,7.69E-05,0.002260801,0.491,0.291,1,0.2
SKP1,7.71E-05,-0.026627124,0.849,0.567,1,0.282
APEX1,7.78E-05,0.243402713,0.333,0.177,1,0.156
NCKAP1,7.87E-05,0.02407867,0.497,0.307,1,0.19
SMTN,7.88E-05,-0.295946866,0.119,0.276,1,-0.157
SART1,7.89E-05,0.108550429,0.252,0.11,1,0.142
LETMD1,7.94E-05,0.056560951,0.289,0.13,1,0.159
LAMA4,7.98E-05,0.406606072,0.44,0.287,1,0.153
RBP1,7.99E-05,0.112405553,0.182,0.063,1,0.119
DNAJA4,8.01E-05,-0.63680428,0.239,0.386,1,-0.147
ARL6IP6,8.02E-05,0.125711495,0.252,0.11,1,0.142
RNASE4,8.03E-05,0.087082775,0.101,0.016,1,0.085
SET,8.09E-05,0.028516824,0.736,0.461,1,0.275
SNAP25,8.09E-05,-0.729532217,0.025,0.142,1,-0.117
GIMAP4,8.10E-05,0.053962773,0.566,0.358,1,0.208
CDC42EP1,8.22E-05,-0.041802197,0.321,0.161,1,0.16
GDI2,8.26E-05,-0.044858789,0.585,0.374,1,0.211
FAM107A,8.28E-05,-0.692902961,0.314,0.457,1,-0.143
STMN3,8.31E-05,0.084190276,0.182,0.059,1,0.123
WDR44,8.34E-05,0.079536867,0.101,0.016,1,0.085
DCTD,8.40E-05,0.084442923,0.296,0.138,1,0.158
RNF14,8.45E-05,0.085546249,0.189,0.063,1,0.126
WASF3,8.45E-05,0.205552142,0.132,0.031,1,0.101
HNRNPD,8.52E-05,-0.087280807,0.673,0.421,1,0.252
QKI,8.60E-05,0.198799574,0.623,0.402,1,0.221
NSL1,8.65E-05,0.08631,0.22,0.083,1,0.137
PARD3,8.71E-05,0.110802672,0.138,0.035,1,0.103
MMP28,8.72E-05,0.168429668,0.208,0.079,1,0.129
CRIM1,8.73E-05,0.204092916,0.654,0.433,1,0.221
BCL7C,8.73E-05,-0.042804211,0.377,0.201,1,0.176
JOSD1,8.75E-05,0.151574248,0.44,0.244,1,0.196
LMO4,8.76E-05,0.163554492,0.509,0.327,1,0.182
ZNF131,8.77E-05,0.129246433,0.377,0.209,1,0.168
EIF4H,8.79E-05,0.100353798,0.591,0.374,1,0.217
MON1B,8.79E-05,0.134501169,0.289,0.138,1,0.151
STAU1,8.84E-05,0.154948585,0.472,0.295,1,0.177
C1orf63,8.99E-05,0.148684287,0.774,0.516,1,0.258
HSPA1A,9.04E-05,-0.437449607,0.931,0.874,1,0.057
MAT2B,9.07E-05,0.062920223,0.245,0.102,1,0.143
TCEB1,9.26E-05,-0.027238743,0.667,0.425,1,0.242
CARHSP1,9.27E-05,0.129740066,0.623,0.406,1,0.217
LYRM5,9.27E-05,0.131044306,0.384,0.224,1,0.16
TBC1D9B,9.38E-05,0.145525317,0.289,0.134,1,0.155
GSTT1,9.38E-05,0.114107105,0.277,0.118,1,0.159
HDGFRP2,9.39E-05,0.331209172,0.226,0.094,1,0.132
EIF2A,9.48E-05,0.314540622,0.472,0.287,1,0.185
ZNFX1,9.60E-05,0.130685505,0.465,0.295,1,0.17
ATP6AP2,9.62E-05,0.139714841,0.553,0.327,1,0.226
FGGY,9.70E-05,0.018668482,0.101,0.016,1,0.085
HMOX1,9.77E-05,0.353799574,0.277,0.134,1,0.143
FUT1,9.88E-05,-0.302987109,0.019,0.13,1,-0.111
DAB2IP,9.93E-05,-0.33582044,0.113,0.268,1,-0.155
LEPROTL1,0.000100128,-0.330093974,0.17,0.323,1,-0.153
EMC4,0.000100673,-0.003405714,0.528,0.323,1,0.205
PRDX2,0.000100747,-0.097495967,0.654,0.437,1,0.217
SRSF10,0.000100837,0.033201632,0.409,0.236,1,0.173
RAPH1,0.00010129,0.186669284,0.283,0.134,1,0.149
PITHD1,0.000101903,-0.031093526,0.528,0.307,1,0.221
RING1,0.000102755,0.111946516,0.289,0.142,1,0.147
GIMAP6,0.000103018,0.162082537,0.459,0.28,1,0.179
PNPLA2,0.000103748,0.200619318,0.509,0.303,1,0.206
PA2G4,0.000104578,-0.033780496,0.528,0.327,1,0.201
RP11-139H15.1,0.000104615,0.09242161,0.132,0.031,1,0.101
TUBB6,0.000104762,-0.150765871,0.547,0.343,1,0.204
PRPS2,0.000104835,0.121624374,0.164,0.051,1,0.113
NPHP3,0.000104875,0.098223675,0.289,0.138,1,0.151
EPHX1,0.000105688,-0.048549578,0.472,0.276,1,0.196
UBXN1,0.000107605,-0.10625322,0.629,0.398,1,0.231
CNTNAP3B,0.000107751,0.111923448,0.164,0.051,1,0.113
ID4,0.000108501,0.071713893,0.101,0.016,1,0.085
MPST,0.000108624,0.04727897,0.226,0.091,1,0.135
PRRC1,0.00010919,0.122262404,0.151,0.043,1,0.108
C19orf53,0.000109839,-0.041170698,0.635,0.394,1,0.241
CCDC25,0.000109997,0.055996122,0.302,0.146,1,0.156
PRDX3,0.000111961,0.040366857,0.459,0.268,1,0.191
THOC7,0.000112672,0.03498194,0.358,0.189,1,0.169
FXYD5,0.000112831,0.177203529,0.767,0.539,1,0.228
FRY,0.000113196,0.098523396,0.434,0.248,1,0.186
FILIP1L,0.000113256,-0.071063643,0.522,0.319,1,0.203
G6PD,0.000113698,0.126007572,0.182,0.063,1,0.119
RAB7A,0.000113981,0.069846406,0.673,0.433,1,0.24
TMED3,0.000115025,0.163952394,0.189,0.067,1,0.122
11-Sep,0.000116099,0.158251822,0.302,0.146,1,0.156
RBCK1,0.00011685,0.069971745,0.403,0.217,1,0.186
SRFBP1,0.000117818,0.090197464,0.302,0.146,1,0.156
ATP5A1,0.000119961,0.089286394,0.566,0.378,1,0.188
ZNF622,0.000120126,0.117800595,0.308,0.154,1,0.154
GNB2,0.000121217,0.136159194,0.642,0.433,1,0.209
DYNC1LI1,0.000121662,-0.031467059,0.371,0.197,1,0.174
SHOC2,0.000122071,0.155936524,0.358,0.197,1,0.161
RALGDS,0.000123365,0.151429504,0.283,0.134,1,0.149
NMT2,0.000123495,0.108974856,0.176,0.059,1,0.117
KMT2A,0.000124093,0.150413048,0.497,0.299,1,0.198
MEX3C,0.000124117,0.203958581,0.371,0.209,1,0.162
FAM210B,0.000124327,0.144006534,0.214,0.087,1,0.127
SPOP,0.000126373,-0.040974214,0.478,0.272,1,0.206
ALKBH7,0.000126401,0.253282264,0.421,0.236,1,0.185
DEGS2,0.000126534,-0.209644534,0.013,0.114,1,-0.101
TMEM126B,0.000127508,0.003919072,0.358,0.193,1,0.165
RFTN1,0.00012889,-0.146955824,0.05,0.181,1,-0.131
PDCD6IP,0.00012925,0.121023584,0.491,0.315,1,0.176
ENSA,0.000131157,0.064809202,0.616,0.382,1,0.234
THRAP3,0.000131695,0.041017729,0.434,0.244,1,0.19
SUMF2,0.000132163,0.23144982,0.358,0.193,1,0.165
CLK1,0.00013229,0.045192847,0.604,0.374,1,0.23
DCP1A,0.00013252,0.285834429,0.421,0.252,1,0.169
STX5,0.000133585,0.005442357,0.39,0.217,1,0.173
ALDH2,0.000133749,0.035607492,0.371,0.209,1,0.162
TRA2A,0.000134766,0.037790941,0.497,0.319,1,0.178
SS18L2,0.000135729,-0.033462416,0.44,0.256,1,0.184
TROVE2,0.000136232,0.092656591,0.447,0.272,1,0.175
LSM1,0.000138515,0.055425567,0.358,0.193,1,0.165
MED13L,0.000138836,0.245548202,0.34,0.189,1,0.151
BIN3,0.000139136,0.086734376,0.22,0.091,1,0.129
CAST,0.000139185,-0.063423697,0.572,0.358,1,0.214
AGO3,0.00013959,0.028544971,0.384,0.213,1,0.171
U2SURP,0.000139745,0.143956489,0.409,0.24,1,0.169
PDGFA,0.000139854,0.084525314,0.182,0.063,1,0.119
NDUFAF2,0.000139966,0.086530019,0.327,0.169,1,0.158
FBXO9,0.000141253,0.167206958,0.233,0.102,1,0.131
HNRNPU,0.000141892,0.039750832,0.73,0.488,1,0.242
EBNA1BP2,0.000142096,0.075978703,0.327,0.181,1,0.146
HLA-DMA,0.000142338,0.298983811,0.377,0.217,1,0.16
INO80D,0.000143625,0.121683268,0.214,0.087,1,0.127
DPM3,0.000144137,0.010023936,0.396,0.224,1,0.172
NUCB2,0.000144752,-0.015507482,0.591,0.39,1,0.201
GTF2B,0.000145142,0.16582349,0.377,0.197,1,0.18
SMYD2,0.000147038,-0.173043162,0.013,0.114,1,-0.101
MED6,0.000147064,0.077159206,0.258,0.114,1,0.144
SSR4,0.000147394,0.144555516,0.704,0.457,1,0.247
LY96,0.000147886,-0.476460634,0.164,0.323,1,-0.159
STARD7,0.000147915,0.010259568,0.27,0.122,1,0.148
TBC1D15,0.000147978,-0.074003051,0.478,0.291,1,0.187
PTGR1,0.000149434,0.017982569,0.201,0.075,1,0.126
RP11-349A22.5,0.000149929,0.120593417,0.403,0.217,1,0.186
RSL1D1,0.000151489,-0.098030968,0.535,0.323,1,0.212
PPIA,0.00015258,-0.015802959,0.881,0.61,1,0.271
EPB41L2,0.000153947,0.007857447,0.314,0.157,1,0.157
MAP3K11,0.000154107,0.156390986,0.434,0.268,1,0.166
TMEM248,0.000154483,0.063372497,0.365,0.201,1,0.164
TRIM56,0.000154785,0.09403582,0.151,0.043,1,0.108
UQCRQ,0.000154929,0.030868125,0.629,0.425,1,0.204
RAP2B,0.000157167,0.1154278,0.208,0.079,1,0.129
EFTUD2,0.000157741,0.081661586,0.239,0.106,1,0.133
ZRANB2,0.000157936,0.149356326,0.358,0.193,1,0.165
HACL1,0.000158722,0.182679405,0.201,0.079,1,0.122
MMP10,0.000159188,0.211743176,0.119,0.028,1,0.091
MRPL21,0.000160249,-0.047377475,0.346,0.181,1,0.165
RP11-138A9.1,0.000160676,0.213609643,0.277,0.126,1,0.151
POLR1E,0.000163089,0.104137808,0.119,0.028,1,0.091
METTL7A,0.000163729,0.272492765,0.314,0.165,1,0.149
SLK,0.00016465,0.106468821,0.491,0.323,1,0.168
MRPS11,0.000165014,0.076155995,0.314,0.154,1,0.16
AL592183.1,0.000165349,0.235256752,0.201,0.075,1,0.126
TMEM220,0.000166634,0.075256294,0.157,0.047,1,0.11
LSM7,0.000167133,0.012231303,0.491,0.299,1,0.192
DDX24,0.000167139,-0.068616768,0.654,0.402,1,0.252
RASA4,0.000167168,0.099770982,0.113,0.024,1,0.089
PAIP1,0.00016877,0.171225453,0.321,0.173,1,0.148
PHF1,0.000169416,0.151713973,0.396,0.228,1,0.168
ARGLU1,0.000170656,0.284541326,0.635,0.406,1,0.229
CREB1,0.000171428,0.06672365,0.296,0.142,1,0.154
SF3B1,0.000171554,-0.087341225,0.61,0.374,1,0.236
